text,label,language
 RT mayasolovely As a woman you shouldn t complain about cleaning up your house amp as a man you should always take the trash out ,insult,eng
 RT mleew17 boy dats cold tyga dwn bad for cuffin dat hoe in the 1st place ,insult,eng
 RT UrKindOfBrand Dawg RT 80sbaby4life You ever fuck a bitch and she start to cry You be confused as shit,insult,eng
 RT C G Anderson viva based she look like a tranny,insult,eng
 RT ShenikaRoberts The shit you hear about me might be true or it might be faker than the bitch who told it to ya 57361 ,insult,eng
 T Madison x The shit just blows me claim you so faithful and down for somebody but still fucking with hoes 128514 128514 128514 ,insult,eng
 BrighterDays I can not just sit up and HATE on another bitch I got too much shit going on ,insult,eng
 8220 selfiequeenbri cause I m tired of you big bitches coming for us skinny girls 8221 ,insult,eng
 amp you might not get ya bitch back amp thats that ,insult,eng
 rhythmixx hobbies include fighting Mariam bitch,insult,eng
 Keeks is a bitch she curves everyone lol I walked into a conversation like this Smh,insult,eng
 Murda Gang bitch its Gang Land ,insult,eng
 So hoes that smoke are losers yea go on IG,insult,eng
 bad bitches is the only thing that i like ,insult,eng
 bitch get up off me ,insult,eng
 bitch nigga miss me with it ,insult,eng
 bitch plz whatever ,insult,eng
 bitch who do you love ,insult,eng
 bitches get cut off everyday B ,insult,eng
 black bottle amp a bad bitch ,insult,eng
 broke bitch cant tell me nothing ,insult,eng
 cancel that bitch like Nino ,insult,eng
 cant you see these hoes wont change ,insult,eng
 fuck no that bitch dont even suck dick 128514 128514 128514 the Kermit videos bout to fuck IG up,insult,eng
 got ya bitch tip toeing on my hardwood floors 128514 http t co cOU2WQ5L4q,insult,eng
 her pussy lips like Heaven doors 128524 ,insult,eng
 hoe what its hitting for ,insult,eng
 i met that pussy on Ocean Dr i gave that pussy a pill 128524 ,insult,eng
 i need a trippy bitch who fuck on Hennessy ,insult,eng
 i spend my money how i want bitch its my business ,insult,eng
 i txt my old bitch my new bitch pussy wetter ,insult,eng
 i d say im back to the old me but my old bitches would get excited 128524 ,insult,eng
 if you aint bout that Murder Game pussy nigga shut up ,insult,eng
 if you re toes ain t done you pussy stinks ,insult,eng
 im done with bitter bitches its a wrap for that if you a angry bird theres a app for that ,insult,eng
 is that ya bitch ,insult,eng
 it aint nothing to cut a bitch off ,insult,eng
 jus meet son now he ya mane ass bitches Shots,insult,eng
 lames crying over hoes thats tears of a clown ,insult,eng
 like Snoop said in 94 we dont love these hoes ,insult,eng
 momma said no pussy cats inside my doghouse ,insult,eng
 most hated but the hoes favorite 2MW SevenOne http t co BMdSVMc3rC,insult,eng
 nice girls bad make me get naughty Bad yello hoe real nice body Down south chick like em real thick http t co bzRDl3kF7U,insult,eng
 pimps up pimps up hoes down Future voice,insult,eng
 post a picture of that pussy get 200 likes ,insult,eng
 pussy is a powerful drug 128517 HappyHumpDay http t co R8jsymiB5b,insult,eng
 quick piece of pussy call it a drive by ,insult,eng
 running round here like some brand new pussy thats bout to get fucked ,insult,eng
 these bitches even worst they ll send them guys for you ,insult,eng
 these hoes like niggas that spend money not talk bout it ,insult,eng
 we dont trust these niggas all these bitches ,insult,eng
 yall niggas b cuffing hoes cause yall aint never have bitches ,insult,eng
 you dodge a bullet 128517 8220 DaRealKha All da bitches I cut off pregnant or bound to be thank God 128591 8221 ,insult,eng
 young Pill Chamberlain these bitches love my music ,insult,eng
 128514 128514 128514 128514 128514 128514 128514 128514 128514 128514 128514 VandalSavage Teanna Trump probably cleaner than most of these twitter hoes but ,insult,eng
 128514 128514 128514 128514 128514 128514 128514 128514 128514 128514 DaHomieFuzz Gay niggas couldn t wait to act like bitches tonight ,insult,eng
 128514 128514 128514 The Paradox And ima steal his cat n replace it with a pitbull 128514 128514 128514 128514 RT 80sbaby4life The Paradox He a bitch you should do it ,insult,eng
 amp he s gone always be a hoe ,insult,eng
 Son of a bitch took my Tic Tacs I like this movie ,insult,eng
 All I wanna do is get money and fuck model bitches Russell Simmons,insult,eng
 2015seniorprobs I probably wouldn 8217 t mind school as much if we didn 8217 t have to deal with bitch ass teachers Retweet,insult,eng
 A7XDemery I m a fucking fag they said ,insult,eng
 ARIZZLEINDACUT Females think dating a pussy is cute now http t co VxBJg26Gsz how does doing this stuff make him a pussy ,insult,eng
 Addicted2Guys SimplyAddictedToGuys http t co 1jL4hi8ZMF woof woof hot scally lad,insult,eng
 AdoreBellaaa Have ya ever asked your bitch for other bitches kanye voice Yes,insult,eng
 AdoreZoey How u gone bring ur side bitch to a game where You know Ya gf friends at 128553 128553 128553 128553 I SWEAR ,insult,eng
 AllAboutManFeet http t co 3gzUpfuMev woof woof and hot soles,insult,eng
 Allyhaaaaa Lemmie eat a Oreo amp do these dishes One oreo Lol,insult,eng
 Almightywayne JetsAndASwisher Gook bitch fuck u http t co pXmGA68NC1 maybe you ll get better Just http t co TPreVwfq0S,insult,eng
 Almightywayne Fuck Red Malone man bitch ass niggah could you please use complete sentences ,insult,eng
 ArizonasFinest6 Why the eggplant emoji doe y he say she looked like scream lmao,insult,eng
 AutoWorId Hennessey Venom GT 128584 http t co i8eGMnKaJ9 that s one sexy bitch,insult,eng
 BOSSBYTCHH Him seh me pussy wetter then a shower curtain ahmesehwetness lt lmao ,insult,eng
 BRO HEN314 Eaglesnation and every Eagles need to see that pic I just posted because that bitch just said the most racist shit ,insult,eng
 BVSEDCHINK Yo fuck skateboarding all y all some wood pushing faggots man ball is life http t co VBCzP6HMT7 AmJemieBenn,insult,eng
 BabyAnimalPics baby monkey bathtime http t co 7KPWAdLF0R Awwwwe This is soooo ADORABLE ,insult,eng
 BaylaaGottaBody 128514 128514 128514 128514 I ain t shit Damn Skippy lol,insult,eng
 BeEasyJrizzy u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussy No bs must b gt 30 chance,insult,eng
 BeenBasedB KudaBrazyy http t co LuUBGL9Y5u 0 rings 0 mvps 0 bitches lol,insult,eng
 BeenFLYnSolo ppl talk bad about the ghetto hood but as a kid growing up a nigga had funnnnnnn ,insult,eng
 BestProAdvice The facts on tattoos tattoo http t co ZwnbhpDZ8e he s a pussy with not tattooing them nipples,insult,eng
 Bill215 128175 128175 128175 RT nel ayden Bitches be wanting to act like niggas so bad 128553 128553 128553 that shit aint cuteeeee but niggas act like bitches ,insult,eng
 BitchJones92 Get worshiping bitch http t co R37CejCjou woof woof,insult,eng
 BlackChiquitita Wow RT thatmanpalmer I m lost Are those buttcheek piercings http t co yn6guyOUQ6 yeah she s a hoe,insult,eng
 BlackNerdJade Ok sis She d rather be a broke bitch shrugs she ll have to tell me how it works for her,insult,eng
 Blackman38Tide WhaleLookyHere HowdyDowdy11 queer gaywad,insult,eng
 BrokenPiecesmsc ItsNotAdam faggot read my tweets after dat k it wasn t even funny lol,insult,eng
 BrosConfessions This bitch was so ungrateful http t co 06e77bGwbx fr LULWHORE,insult,eng
 CASHandBOOBIES I been kidnapped yo bitch ,insult,eng
 CB Baby24 white thunduh alsarabsss hes a beaner smh you can tell hes a mexican,insult,eng
 CCobey AydanMcCoy happy birthday nigs Thanks yo,insult,eng
 CHlLDHOODRUINER when ur teacher tells u that u have homework https t co RKk5vawIj1 this bitch need to go ,insult,eng
 CaelanG15 22EdHam CaelanG15 that nigga was eating that hoe lol Hell Yea lol john Paul nigga said john paul http t co OSIpBKPr9h,insult,eng
 CanIFuckOrNah What would y all lil ugly bald headed bitches do if they stop making make up amp weave ,insult,eng
 CarelessOne92 Leafs better win this damn game so I can go riot and shit EarlyChristmas you better start looting my nig,insult,eng
 CauseWereGuys Going back to school sucks more dick than the hoes who attend it ,insult,eng
 CauseWereGuys On my way to fuck yo bitch http t co j906T5zE2R me as a 9 year old,insult,eng
 CeleyNichole white thunduh how come you never bring me food i dont have a car retard,insult,eng
 ChadMFVerbeck If Richnow doesn t show up with hella tinder hoes Im not his friend anymore chill I brought like like 8 prople,insult,eng
 ChandlerParsons How bout them Cowboys Shutup pussy,insult,eng
 ClicquotSuave LMAOOOOOOOOOOO this nigga Krillz Nuh Care http t co AAnpSUjmYI lt bitch want likes for some depressing shit foh,insult,eng
 Coley Cee lil aerii girl you know I was spitting that G shit to you amp you was going lbvs bitch plz,insult,eng
 Coley Cee Let me make a couple tweets off cuzzo page so I won t get in twitter jail lmao bitch don t trick me again,insult,eng
