text,language,label
Idiot,fr,insult
Crétin,fr,insult
Imbécile,fr,insult
Con,fr,insult
Salaud,fr,insult
Bête,fr,insult
Nul,fr,insult
Moron,fr,insult
Minable,fr,insult
Trouduc,fr,insult
Enfoiré,fr,insult
Bouffon,fr,insult
Abruti,fr,insult
Crétine,fr,insult
Idiote,fr,insult
Connard,fr,insult
Connasse,fr,insult
Cinglé,fr,insult
Débile,fr,insult
Pourri,fr,insult
Raté,fr,insult
Salopard,fr,insult
Tordu,fr,insult
Nullard,fr,insult
Paumé,fr,insult
Pouffiasse,fr,insult
Bâtard,fr,insult
Bitch,fr,insult
Chiant,fr,insult
Crado,fr,insult
Détraqué,fr,insult
Garce,fr,insult
Lâche,fr,insult
Lourd,fr,insult
Merdeux,fr,insult
Moche,fr,insult
Ordure,fr,insult
Pourri,fr,insult
Raclure,fr,insult
Tocard,fr,insult
Tarlouze,fr,insult
Tête de con,fr,insult
Truand,fr,insult
Vaurien,fr,insult
Vermine,fr,insult
Abruti fini,fr,insult
Connard fini,fr,insult
Débile profond,fr,insult
Espèce de con,fr,insult
Gros con,fr,insult
Gros nul,fr,insult
Gros tas,fr,insult
Gueule d’abruti,fr,insult
Imbécile heureux,fr,insult
Idiot du village,fr,insult
Petite merde,fr,insult
Tête de nœud,fr,insult
Va te faire foutre,fr,insult
Va te faire voir,fr,insult
Fout le camp,fr,insult
Fiche le camp,fr,insult
Tire-toi,fr,insult
Casse-toi,fr,insult
Tire-toi pauv' con,fr,insult
Va chier,fr,insult
Bouffon de merde,fr,insult
C'est un con,fr,insult
Espèce de crétin,fr,insult
Espèce d'idiot,fr,insult
Imbécile heureux,fr,insult
Idiot complet,fr,insult
Grosse vache,fr,insult
Sale chien,fr,insult
Sale porc,fr,insult
Sale type,fr,insult
Petite conne,fr,insult
Petite pute,fr,insult
Gros con,fr,insult
Sale con,fr,insult
Petit con,fr,insult
Petite merde,fr,insult
Grosse merde,fr,insult
Sac à merde,fr,insult
Tête de con,fr,insult
Truand,fr,insult
Vaurien,fr,insult
Gros dégueulasse,fr,insult
Grosse truie,fr,insult
Espèce de truand,fr,insult
Foutre-toi de moi,fr,insult
Espèce de salaud,fr,insult
Sale enfoiré,fr,insult
Petite ordure,fr,insult
Sale ordure,fr,insult
Pauvre con,fr,insult
Tête de noeud,fr,insult
Bouffon,fr,insult
Tocard,fr,insult
Casse-toi,fr,insult
Gros naze,fr,insult
Bonjour,fr,non-insult
Salut,fr,non-insult
Merci,fr,non-insult
S'il te plaît,fr,non-insult
Bien joué,fr,non-insult
Bravo,fr,non-insult
Félicitations,fr,non-insult
Excusez-moi,fr,non-insult
Pardon,fr,non-insult
Je t'aime,fr,non-insult
Je vous aime,fr,non-insult
Bonne journée,fr,non-insult
Bonne nuit,fr,non-insult
À bientôt,fr,non-insult
Bonne chance,fr,non-insult
Bon appétit,fr,non-insult
Bien sûr,fr,non-insult
D'accord,fr,non-insult
Pas de problème,fr,non-insult
Tout va bien,fr,non-insult
À plus tard,fr,non-insult
Je comprends,fr,non-insult
C'est d'accord,fr,non-insult
Pas de souci,fr,non-insult
Bonne route,fr,non-insult
Bon voyage,fr,non-insult
Courage,fr,non-insult
Je suis désolé,fr,non-insult
Avec plaisir,fr,non-insult
Je vous en prie,fr,non-insult
Pas du tout,fr,non-insult
Merci beaucoup,fr,non-insult
De rien,fr,non-insult
Enchanté,fr,non-insult
Bienvenue,fr,non-insult
Bonne continuation,fr,non-insult
Je t'en prie,fr,non-insult
Je vous en prie,fr,non-insult
À votre service,fr,non-insult
Je m'excuse,fr,non-insult
Parfait,fr,non-insult
Excellent,fr,non-insult
Super,fr,non-insult
Formidable,fr,non-insult
Magnifique,fr,non-insult
Incroyable,fr,non-insult
Extraordinaire,fr,non-insult
Splendide,fr,non-insult
Fantastique,fr,non-insult
Chouette,fr,non-insult
Merveilleux,fr,non-insult
Génial,fr,non-insult
Impressionnant,fr,non-insult
Prodigieux,fr,non-insult
Stupéfiant,fr,non-insult
Épatant,fr,non-insult
Fabuleux,fr,non-insult
Éblouissant,fr,non-insult
Bravo,fr,non-insult
Bien fait,fr,non-insult
Quel talent,fr,non-insult
Belle performance,fr,non-insult
Tu es génial,fr,non-insult
Tu es formidable,fr,non-insult
Je suis fier de toi,fr,non-insult
Tu as assuré,fr,non-insult
Tu es le meilleur,fr,non-insult
Merci pour tout,fr,non-insult
Je t'apprécie,fr,non-insult
C'était super,fr,non-insult
Tu m'as aidé,fr,non-insult
Tu es incroyable,fr,non-insult
Belle journée,fr,non-insult
Que du bonheur,fr,non-insult
C'est formidable,fr,non-insult
Tu es fantastique,fr,non-insult
C'est super,fr,non-insult
Bon travail,fr,non-insult
Je suis heureux,fr,non-insult
Merci infiniment,fr,non-insult
Bonne chance,fr,non-insult
À la prochaine,fr,non-insult
Je suis content,fr,non-insult
Tu es gentil,fr,non-insult
C'est parfait,fr,non-insult
Merci bien,fr,non-insult
C'était génial,fr,non-insult
Bien joué,fr,non-insult
Bonne idée,fr,non-insult
Bonne ambiance,fr,non-insult
J'adore,fr,non-insult
Tu es super,fr,non-insult
Merci beaucoup,fr,non-insult
Bonne journée,fr,non-insult
Comment ça va,fr,non-insult
À bientôt,fr,non-insult
Excusez-moi,fr,non-insult
Pas de problème,fr,non-insult
Je vous en prie,fr,non-insult
C'est gentil,fr,non-insult
