text,language,label
baiser,fr,insult
bander,fr,insult
bigornette,fr,insult
bite,fr,insult
bitte,fr,insult
bloblos,fr,insult
bordel,fr,insult
bosser,fr,insult
bourré,fr,insult
bourrée,fr,insult
brackmard,fr,insult
branlage,fr,insult
branler,fr,insult
branlette,fr,insult
branleur,fr,insult
branleuse,fr,insult
brouter le cresson,fr,insult
caca,fr,insult
cailler,fr,insult
chatte,fr,insult
chiasse,fr,insult
chier,fr,insult
chiottes,fr,insult
clito,fr,insult
clitoris,fr,insult
con,fr,insult
connard,fr,insult
connasse,fr,insult
conne,fr,insult
couilles,fr,insult
cramouille,fr,insult
cul,fr,insult
déconne,fr,insult
déconner,fr,insult
drague,fr,insult
emmerdant,fr,insult
emmerder,fr,insult
emmerdeur,fr,insult
emmerdeuse,fr,insult
enculé,fr,insult
enculée,fr,insult
enculeur,fr,insult
enculeurs,fr,insult
enfoiré,fr,insult
enfoirée,fr,insult
étron,fr,insult
fille de pute,fr,insult
fils de pute,fr,insult
folle,fr,insult
foutre,fr,insult
gerbe,fr,insult
gerber,fr,insult
gouine,fr,insult
grande folle,fr,insult
grogniasse,fr,insult
gueule,fr,insult
jouir,fr,insult
la putain de ta mère,fr,insult
MALPT,fr,insult
ménage à trois,fr,insult
merde,fr,insult
merdeuse,fr,insult
merdeux,fr,insult
meuf,fr,insult
nègre,fr,insult
nique ta mère,fr,insult
nique ta race,fr,insult
palucher,fr,insult
pédale,fr,insult
pédé,fr,insult
péter,fr,insult
pipi,fr,insult
pisser,fr,insult
pouffiasse,fr,insult
pousse-crotte,fr,insult
putain,fr,insult
pute,fr,insult
ramoner,fr,insult
sac à merde,fr,insult
salaud,fr,insult
salope,fr,insult
suce,fr,insult
tapette,fr,insult
teuf,fr,insult
tringler,fr,insult
trique,fr,insult
trou du cul,fr,insult
turlute,fr,insult
veuve,fr,insult
zigounette,fr,insult
zizi,fr,insult
