text,language,label
mb3c!l,fr,insult
mbec!l,fr,insult
mbéc!l,fr,insult
mbec!l,fr,insult
mbéc!l,fr,insult
brut,fr,insult
brut,fr,insult
brut,fr,insult
nd0u!ll,fr,insult
nd0u!ll,fr,insult
nd0u1ll,fr,insult
nd0u1ll,fr,insult
nd0uill,fr,insult
nd0uill,fr,insult
ndou!ll,fr,insult
ndou!ll,fr,insult
ndou1ll,fr,insult
ndou1ll,fr,insult
ndouill,fr,insult
ndouill,fr,insult
v0rt0,fr,insult
vorto,fr,insult
mb3c1l,fr,insult
mbec1l,fr,insult
mbéc1l,fr,insult
mbec1l,fr,insult
mbéc1l,fr,insult
5p!ng0!,fr,insult
5p!ngo!,fr,insult
5p1ng01,fr,insult
5p1ngo1,fr,insult
5ping0i,fr,insult
5pingoi,fr,insult
mm@nch,fr,insult
mm@nch,fr,insult
mm@nch,fr,insult
mm3rd3,fr,insult
mm3rd3u5,fr,insult
mm3rd3u,fr,insult
mm3rd3us,fr,insult
mmanch,fr,insult
mmanch,fr,insult
mmanch,fr,insult
mp@f,fr,insult
mp@f,fr,insult
mp@f,fr,insult
mp@p@0ut,fr,insult
mp@p@0ut,fr,insult
mp@p@0ut,fr,insult
mp@p@out,fr,insult
mp@p@out,fr,insult
mp@p@out,fr,insult
mpaf,fr,insult
mpaf,fr,insult
mpaf,fr,insult
mpapa0ut,fr,insult
mpapa0ut,fr,insult
mpapa0ut,fr,insult
mpapaout,fr,insult
mpapaout,fr,insult
mpapaout,fr,insult
ncul,fr,insult
ncul3,fr,insult
ncul3u,fr,insult
ncul,fr,insult
ncul,fr,insult
nf0!r,fr,insult
nf0!r,fr,insult
nf0!r,fr,insult
nf01r,fr,insult
nf01r,fr,insult
nf01r,fr,insult
nf0ir,fr,insult
nf0ir,fr,insult
nf0ir,fr,insult
nflur,fr,insult
nfo!r,fr,insult
nfo!r,fr,insult
nfo!r,fr,insult
nfo1r,fr,insult
nfo1r,fr,insult
nfo1r,fr,insult
nfoir,fr,insult
nfoir,fr,insult
nfoir,fr,insult
nv@53l!n3u,fr,insult
nv@53l1n3u,fr,insult
nv@53lin3u,fr,insult
nv@s3l!n3u,fr,insult
nv@s3l1n3u,fr,insult
nv@s3lin3u,fr,insult
nva53l!n3u,fr,insult
nva53l1n3u,fr,insult
nva53lin3u,fr,insult
nvas3l!n3u,fr,insult
nvas3l1n3u,fr,insult
nvas3lin3u,fr,insult
p@!,fr,insult
p@!,fr,insult
p@1,fr,insult
p@1,fr,insult
p@i,fr,insult
p@i,fr,insult
pa!,fr,insult
pa!,fr,insult
pa1,fr,insult
pa1,fr,insult
pai,fr,insult
pai,fr,insult
sp!ng0!,fr,insult
